# minor-thunderous-bellow · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 9c62b842f7aaa712fc4e4367256c1eb5a95894461fe032665085b78248711f28
# title: Beuglement tonitruant
# nav_label: Beuglement tonitruant
# description: Arcane mineur : une plaque des Bâtisseurs enfouie qui enseigne un cri capable d'assourdir tout le monde.
PAGE	510
H3	Une plaque à demi enterrée
P	◇◇, <i>encombrant</i>, <i>magique</i>
P	Une plaque de bronze qui affleure du sol, quelque part dans les Plaines ou près de la Rivière d'Effroi. Elle est cabossée, un peu voilée, gravée de runes des Bâtisseurs et de diagrammes ésotériques. Comment diable a-t-elle pu atterrir ici ?
P	La plaque contient les rouages d'un sortilège que tu peux apprendre, mais…
C	… tu dois d'abord la déterrer et la nettoyer.
C	… tu dois déchiffrer les runes des Bâtisseurs.
C	… cela prendra quelques semaines d'étude.
C	… tu risques d'abîmer ta voix, ton ouïe, et/ou tes voisins en t'entraînant.
H3	Beuglement tonitruant
P	Quand tu <b><i>canalises la tempête primordiale et pousses</i></b> <b><i>un beuglement tonitruant</i></b>, subis 1d6 dégâts (ignore l'armure) et lance +CON : <b>sur un 10+</b>, tous ceux à proximité (sauf toi) doivent choisir 2 options ; <b>sur un 7-9</b>, tous ceux à proximité (sauf toi) doivent choisir 1 option.
B	Lâchent ce qu'ils portent et se couvrent les oreilles
B	Sont assourdis et désorientés pendant quelques instants
B	Titubent de quelques pas en s'éloignant de toi 6
