# Searing Touch · Book II, p. 534 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	534
H3	A runic branding iron
P	◇, <i>magical</i>
P	Found in the workshop of some Forge Lord, still held in a vice-clamp. The head is a runic shape,
P	6 by 6 inches, with smaller runes etched into its surface. Or at least, most of its surface. A few inches are blank, the work clearly unfinished.
P	To unlock the mysteries of this iron and claim its power as your own, you must...
C	… decipher the meaning of the runes, and identify the missing ones.
C	… finish the etchings, risking an error that will make the next step fail.
C	… heat the iron red-hot and let yourself be branded (lose 3d6 HP), the runes fading from the iron and searing themselves upon your soul.
C	… allow the wound to heal and scar, without the aid of any magic.
H3	Searing Touch
P	When you <b><i>call up the fire from your soul and</i></b> <b><i>pour it into your hands</i></b>, roll +CON: <b>on a 7+</b>, your hands blaze like white-hot iron (see below); <b>but</b> <b>on a 10+</b>, first pick 1; <b>and on a 7-9</b>, first pick 2:
B	It takes minutes of intense focus
B	It burns your life force; lose 2d4 HP
B	The pain is terrible; mark a debility
P	<b>On a 6-</b>, whatever else the GM says, you cannot do this again until you Convalesce.
P	While your <b><i>hands are ablaze</i></b>, your touch deals 1d10 damage (<i>hand</i>, <i>messy</i>, <i>dangerous</i>, 1 piercing), sets fire to wood, boils water, heats metal. Your hands are unharmed by the heat, but your gear and the rest of your body has no such protection.
P	Be careful.
P	Your hands blaze as long as you maintain your focus, up to a minute or maybe two.
