# Impudent Polymorph · Book II, p. 525 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	525
H3	A large wooden jar
P	◇◇ <b>,</b> <i>cumbersome</i><b>,</b> <i>fragile</i><b>,</b> <i>magical</i>
P	30 inches tall and carved of yew, with a lid shaped like a horned lion and sealed with wax.
P	Its surface is cracked and speared with shards of red crystal. When you touch it, you can feel great annoyance and just a hint of fear.
P	To unlock the jar's mysteries, you must…
C	… wash its surface with your own fresh blood (lose 1d10 HP and mark a debility).
C	… commune with the spirit of the haughty Green Lord to whom this jar is bound.
C	… learn to use the red crystals to torment the Green Lord's spirit.
C	… convince the bound Green Lord spirit to change your form.
P	If <b><i>the jar is opened</i></b>, all its magic is lost.
H3	Impudent Polymorph
P	Ire ◇◇◇◇◇◇◇◇◇
P	When you <b><i>interrupt the idyllic afterlife of the</i></b> <b><i>Green Lord bound to the jar and demand that it</i></b> <b><i>change your form,</i></b> describe the change and pick as many as you dare:
B	The change lasts as long as you like (else, it lasts till you get a 6- on a move)
B	The change is quick and easy (else, it takes minutes or even hours)
B	You adapt to the new form quickly (else, mark a debility)
B	Pick 2 of your stats; swap their values until the change ends Then roll +CHA: <b>on a 10+</b>, the spirit works the change, just as you asked; <b>on a 7-9</b>, it works the change, but you gain Ire equal to the number of choices you've made; <b>on a 6-</b>, the spirit rebels and wracks your body, dealing 1d10 damage per Ire you hold. If you survive, clear all Ire.
