# The Broom's Lullaby · Book II, p. 537 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	537
H3	A humble broom
P	◇, <i>magical, crude</i>
P	Just a well-worn stick of rowan wood, in need of some new bristles. You wouldn't give it another thought. Except... when you hold it, and sweep with it, you find yourself humming a half-remembered tune.
P	Clearly, there is more to this broom than meets the eye. To unlock its mysteries, you must...
C	… find a Fae who can hear the broom's song in its entirety.
C	… convince them to teach you the broom's song in full.
C	… use the broom at least once a day for a whole season, singing the lullaby as you do.
C	… risk falling into a lasting, timeless sleep as you practice the lullaby.
H3	The Broom's Lullaby
P	<i>magical, area, near</i>
P	When you <b><i>start sweeping an area as you softly</i></b> <b><i>sing the lullaby</i></b>, roll +CHA: <b>on a 7+</b>, those who see and hear you stop to watch and listen, at least for a bit, entranced or confused or bemused as fits their nature and the circumstances. They snap out of it if harmed or threatened. <b>Also,</b> <b>on a 10+</b>, you can hold their attention for the length of the lullaby, as long as no one is harmed or threatened.
P	When you <b><i>sing the full lullaby, sweeping all</i></b> <b><i>the while</i></b>, roll +CHA: <b>on a 10+</b>, all who hear you fall into a deep sleep and will be prone to dismiss this as just a dream; <b>on a 7-9</b>, all who hear you start to nod off or lapse into a light, jerking sleep, but they will certainly remember this when they come to; <b>on a 6-</b>, at least one of your audience snaps to and realizes just how weird this all is.
P	60
