# Goldleaf Cloak · Book II, p. 517 (top)
# Generated by the extractor — fix the extractor, not this file.
PAGE	517
H3	A giant oak leaf
P	◇, <i>magical</i>
P	About 6 feet long, waxy and rigid, shimmering with golden iridescence. Is this truly a leaf from the Golden Oak?
P	You can turn the leaf into a wondrous cloak, but to do so you must...
C	… learn the secrets of its making (from a Fae, a spirit of the wild, or perhaps a favored servant of Danu).
C	… tan the leaf with a mix of lime-water, crow guano, the brain of a cave bear, and your own blood.
C	… have it fitted to your exact measurements by a tailor of <i>exceptional</i> skill.
H3	Goldleaf Cloak
P	◇, <i>warm</i>, <i>magical</i>
P	When you <b><i>wear a goldleaf cloak that you have</i></b> <b><i>tanned yourself and that has been fitted to your</i></b> <b><i>exact measurements</i></b>, then all of these are true:
B	You are immune to effects that drain, steal, or snuff out your vitality, energy, or life force.
B	You are immune to effects that calm or dampen your emotions.
B	You are surrounded by a constant golden glow (<i>hand</i>, <i>area</i>), making it nearly impossible to hide.
P	When you <b><i>die and are buried in the earth,</i></b> <b><i>wrapped in your goldleaf cloak</i></b>, you return to life as if you were buried at the roots of the Golden Oak. Your cloak, however, rots away to mulch and tatters.
