# The Green Lord's Shade · Book II, p. 520 (bottom)
# Generated by the extractor — fix the extractor, not this file.
PAGE	520
H3	A strange skull and antlers
P	<i>immobile, magical</i>
P	A skull, the size of a horse's head but clearly not a horse—nor a drake, nor a wolf, nor a bear. For none of those beasts would bear such mighty antlers as those affixed to this skull.
P	Looking closely, one sees the whorls and twists of ancient glyphs carved into the bone. Those in its presence often feel a draft, as if someone left a door ajar.
P	To unlock the secrets of this relic, you…
C	… must learn the name of the shade whose skull this was; or…
C	… use the Blessed's Call the Spirits move to call up the shade.
H3	The Green Lord's Shade
P	When you <b><i>make an offering of good liquor, fresh</i></b> <b><i>fruit, or fresh-cooked meat and call up the shade of</i></b> <b><i>the skull</i></b>, it manifests before you in shadows.
P	The shade knows much about ancient times, the Green Lords, and their workings. It has no power, but can answer questions. Before it does, it will demand the right to "ride" you and experience the pleasures of living. (<b>Instinct</b> to fulfill its increasingly specific longings.)
P	While it rides you, the shade communicates only through impulse and desire. When it <b><i>compels</i></b> <b><i>you to act against your wishes</i></b>, mark XP if you comply. If you resist, you are Defying Danger.
