# inserts · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: c08ccb1cbebe1b7f4a3675fd611c2df0e4d8235bca67263d9969cee039af605d
# title: Wkładki
# nav_label: Wkładki
# description: Wkładki (Inserts) w Stonetop: Inwentarz, wkładki zależne od playbooka, ogólna wkładka stronników oraz Duch, Upiór i Zniewolony.
PAGE	141
P	Twój BG będzie miał co najmniej jedną wkładkę – dwustronny arkusz formatu pół strony, który możesz wsunąć do złożonego playbooka. Pliki PDF znajdują się w zestawie do gry na stronie Lampblack
P	& Brimstone, ale wkładki zamieszczono też w tym rozdziale dla wygody.
P	Każdy BG dostaje arkusz <b>Inwentarz</b> (str. 142). Jak używać tej wkładki, wyjaśnia <b>Ekwipunek i dobytek</b> na str. 86. Tył wkładki zależy od twojego playbooka i dokonanych wyborów.
P	Jeśli jesteś…
E	<b>Łowcą z ruchem zwierzęcego towarzysza</b>, dostajesz oczywiście wkładkę <b>Zwierzęcy</b> <b>Towarzysz</b> (str. 143);
E	<b>Marszałkiem</b>, dostajesz wkładkę <b>Drużyna</b> (str. 144);
E	<b>Błogosławionym z pochodzeniem Wtajemniczony</b>, dostajesz wkładkę <b>Wtajemniczeni</b> <b>Danu</b> (str. 145);
E	<b>Niosącym Światło</b>, dostajesz wkładkę <b>Inwokacje</b> (str. 146);
P	W przeciwnym razie dostajesz <b>ogólną</b> wkładkę (str. 147) z miejscem na śledzenie stronników oraz podsumowaniem agendy, zasad i reguł gracza.
P	PDF w zestawie do gry jest przygotowany do druku z arkuszem Inwentarz na jednej stronie i arkuszem właściwym dla playbooka (lub ogólnym arkuszem stronników/ agendy) na odwrocie. W tym rozdziale zamieszczono tylko jeden egzemplarz każdego arkusza.
H3	Playbooki i Wkładki
P	Są też trzy wkładki, które można zyskać w wyniku ruchu U Progu Śmierci i złych decyzji: <b>Duch</b> (str. 148), <b>Upiór</b> (str. 150) i <b>Zniewolony</b> (str. 152). Te wkładki zwykle drukuje się dwustronnie na połówce kartki. Bierzesz którąś z nich dopiero wtedy, gdy staje się istotna.
P	Oprócz wkładek przedstawionych w tym rozdziale możesz też dostać wkładkę przedstawiającą <b>wielkie arkanum</b> (str. 60).
P	Poszukiwacz zaczyna grę z wielkim arkanum wskazanym przez jego pochodzenie; a jeśli weźmiesz playbook Osiłka z pochodzeniem „Naznaczony burzą”, zaczynasz grę z wielkim arkanum Znamiona Burzy.
P	Znajdziesz je w Dodatku D: Wielkie
P	arkana (<i>Księga II</i>, str. 540).
